id,first_name,last_name
1,Tim,Robbins
2,Marlon,Brando
3,Christian,Bale
4,Al,Pacino
5,Henry,Fonda
6,Elijah,Wood
7,John,Travolta
8,Liam,Neeson
9,Leonardo,DiCaprio
10,Brad,Pitt
11,Tom,Hanks
12,Clint,Eastwood
13,Lilly,Wachowski
14,Robert,De Niro
15,Mark,Hamill
16,Jack,Nicholson
17,Lin-Manuel,Miranda
18,Kang-ho,Song
19,Suriya,NULL
20,Matthew,McConaughey
21,Kátia,Lund
22,Daveigh,Chase
23,Roberto,Benigni
24,Morgan,Freeman
25,Jodie,Foster
26,Tatsuya,Nakadai
27,Toshirô,Mifune
28,James,Stewart
29,Joaquin,Phoenix
30,Miles,Teller
31,Éric,Toledano
32,Adrien,Brody
33,Russell,Crowe
34,Edward,Norton
35,Kevin,Spacey
36,Jean,Reno
37,Rob,Minkoff
38,Arnold,Schwarzenegger
39,Philippe,Noiret
40,Tsutomu,Tatsumi
41,Michael,J. Fox
42,Anthony,Perkins
43,Humphrey,Bogart
44,Charles,Chaplin
45,Zain,Al Rafeea
46,Erdem,Can
47,Pushkar,NULL
48,Ryûnosuke,Kamiki
49,Aamir,Khan
50,Peter,Ramsey
51,Joe,Russo
52,Adrian,Molina
53,Jamie,Foxx
54,Amole,Gupte
55,Ben,Burtt
56,Ulrich,Mühe
57,Choi,Min-sik
58,Guy,Pearce
59,Yôji,Matsuda
60,Harrison,Ford
61,Martin,Sheen
62,Sigourney,Weaver
63,Rajesh,Khanna
64,Peter,Sellers
65,Tyrone,Power
66,Kirk,Douglas
67,William,Holden
68,Dean-Charles,Chapman
69,Anand,Gandhi
70,Ayushmann,Khurrana
71,Mohanlal,NULL
72,Mads,Mikkelsen
73,Payman,Maadi
74,Lubna,Azabal
75,Aras,Bulut Iynemli
76,Çetin,Tekindor
77,Jim,Carrey
78,Audrey,Tautou
79,Jason,Statham
80,Ellen,Burstyn
81,Robin,Williams
82,Mohammad,Amir Naji
83,Mel,Gibson
84,Harvey,Keitel
85,Matthew,Modine
86,Aleksey,Kravchenko
87,F.,Murray Abraham
88,Jürgen,Prochnow
89,Paul,Newman
90,Malcolm,McDowell
91,Keir,Dullea
92,Peter,O'Toole
93,Jack,Lemmon
94,Cary,Grant
95,Gene,Kelly
96,Takashi,Shimura
97,Lamberto,Maggiorani
98,Fred,MacMurray
99,Orson,Welles
100,Peter,Lorre
101,Brigitte,Helm
102,Sushant,Singh Rajput
103,Vicky,Kaushal
104,Yash,NULL
105,Viggo,Mortensen
106,Frances,McDormand
107,Irrfan,Khan
108,Prabhas,NULL
109,Carlos,Martínez López
110,Ajay,Devgn
111,Kangana,Ranaut
112,Lembit,Ulfsak
113,Farhan,Akhtar
114,Manoj,Bajpayee
115,Rajat,Barmecha
116,Ricardo,Darín
117,Tom,Hardy
118,Bob,Peterson
119,Shah,Rukh Khan
120,Daniel,Day-Lewis
121,Ivana,Baquero
122,Hugo,Weaving
123,Amitabh,Bachchan
124,Bruno,Ganz
125,Chieko,Baishô
126,Akshay,Kumar
127,Jason,Flemyng
128,Sener,Sen
129,Davor,Dujmovic
130,Hitoshi,Takagi
131,Bruce,Willis
132,Alisa,Freyndlikh
133,Ingrid,Bergman
134,Anthony,Quinn
135,Sanjeev,Kumar
136,Terry,Jones
137,Steve,McQueen
138,Gregory,Peck
139,Spencer,Tracy
140,Marilyn,Monroe
141,Victor,Sjöström
142,Max,von Sydow
143,Jean,Servais
144,Ray,Milland
145,Chishû,Ryû
146,Bette,Davis
147,Carole,Lombard
148,Buster,Keaton
149,Noémie,Merlant
150,Taapsee,Pannu
151,Miyu,Irino
152,Mario,Casas
153,Kim,Min-hee
154,Anne,Dorval
155,Shahid,Kapoor
156,Hugh,Jackman
157,Brie,Larson
158,Darío,Grandinetti
159,Kemp,Powers
160,Haluk,Bilginer
161,Paresh,Rawal
162,Ralph,Fiennes
163,Ben,Affleck
164,Aoi,Miyazaki
165,Andrew,Garfield
166,Ronnie,Del Carmen
167,Ranbir,Kapoor
168,Chiwetel,Ejiofor
169,Daniel,Brühl
170,Matt,Damon
171,Mark,Ruffalo
172,David,Rawle
173,Vidya,Balan
174,Hrithik,Roshan
175,Anupam,Kher
176,Daniel,Radcliffe
177,Masahiro,Motoki
178,Richard,Gere
179,Toni,Collette
180,Chris,Sanders
181,Emile,Hirsch
182,Joel,Coen
183,Sanjay,Dutt
184,Hilary,Swank
185,Don,Cheadle
186,Jang,Dong-Gun
187,Ethan,Hawke
188,Uma,Thurman
189,Lee,Unkrich
190,Emilio,Echevarría
191,David,Silverman
192,Kazuya,Tsurumaki
193,Tim,Roth
194,Bajram,Severdzan
195,Ethan,Coen
196,Tony,Chiu-Wai Leung
197,Ewan,McGregor
198,Predrag,Miki' Manojlovic
199,Vincent,Cassel
200,Irène,Jacob
201,Brigitte,Lin
202,Sam,Neill
203,Leslie,Cheung
204,Gong,Li
205,Wil,Wheaton
206,Charlie,Sheen
207,Harry,Dean Stanton
208,Sumi,Shimamoto
209,Kurt,Russell
210,Bob,Geldof
211,Klaus,Kinski
212,Bertil,Guve
213,Anthony,Hopkins
214,Graham,Chapman
215,Sylvester,Stallone
216,Faye,Dunaway
217,Ryan,O'Neal
218,Margarita,Terekhova
219,Harriet,Andersson
220,Natalya,Bondarchuk
221,Alain,Delon
222,Bibi,Andersson
223,Anatoliy,Solonitsyn
224,Brahim,Hadjadj
225,Silvia,Pinal
226,Eduard,Abalov
227,Jean-Pierre,Léaud
228,Charlton,Heston
229,Giulietta,Masina
230,Yves,Montand
231,James,Cagney
232,Emeric,Pressburger
233,Margaret,Sullavan
234,Laurence,Olivier
235,George,Cukor
236,Jean,Gabin
237,Clark,Gable
