id,first_name,last_name
1,Frank,Darabont
2,Francis,Ford Coppola
3,Christopher,Nolan
4,Sidney,Lumet
5,Peter,Jackson
6,Quentin,Tarantino
7,Steven,Spielberg
8,David,Fincher
9,Robert,Zemeckis
10,Sergio,Leone
11,Lana,Wachowski
12,Martin,Scorsese
13,Irvin,Kershner
14,Milos,Forman
15,Thomas,Kail
16,Bong,Joon Ho
17,Sudha,Kongara
18,Fernando,Meirelles
19,Hayao,Miyazaki
20,Roberto,Benigni
21,Jonathan,Demme
22,George,Lucas
23,Masaki,Kobayashi
24,Akira,Kurosawa
25,Frank,Capra
26,Todd,Phillips
27,Damien,Chazelle
28,Olivier,Nakache
29,Roman,Polanski
30,Ridley,Scott
31,Tony,Kaye
32,Bryan,Singer
33,Luc,Besson
34,Roger,Allers
35,James,Cameron
36,Giuseppe,Tornatore
37,Isao,Takahata
38,Alfred,Hitchcock
39,Michael,Curtiz
40,Charles,Chaplin
41,Nadine,Labaki
42,Can,Ulkay
43,Gayatri,NULL
44,Makoto,Shinkai
45,Nitesh,Tiwari
46,Bob,Persichetti
47,Anthony,Russo
48,Lee,Unkrich
49,Rajkumar,Hirani
50,Aamir,Khan
51,Andrew,Stanton
52,Florian,"Henckel von	Donnersmarck"
53,Chan-wook,Park
54,Stanley,Kubrick
55,Hrishikesh,Mukherjee
56,Billy,Wilder
57,Sam,Mendes
58,Rahi,Anil Barve
59,Sriram,Raghavan
60,Jeethu,Joseph
61,Thomas,Vinterberg
62,Asghar,Farhadi
63,Denis,Villeneuve
64,Mehmet,Ada Öztekin
65,Çagan,Irmak
66,Michel,Gondry
67,Jean-Pierre,Jeunet
68,Guy,Ritchie
69,Darren,Aronofsky
70,Gus, Van Sant
71,Majid,Majidi
72,John,Lasseter
73,Mel,Gibson
74,Elem,Klimov
75,Brian,De Palma
76,Richard,Marquand
77,Wolfgang,Petersen
78,George,Roy Hill
79,David,Lean
80,Stanley,Donen
81,Vittorio,De Sica
82,Orson,Welles
83,Fritz,Lang
84,Aditya,Dhar
85,Prashanth,Neel
86,Peter,Farrelly
87,Martin,McDonagh
88,Meghna,Gulzar
89,S.S.,Rajamouli
90,Sergio,Pablos
91,Nishikant,Kamat
92,Vikas,Bahl
93,Zaza,Urushadze
94,Rakeysh,Omprakash Mehra
95,Anurag,Kashyap
96,Vikramaditya,Motwane
97,Tigmanshu,Dhulia
98,Juan,José Campanella
99,Gavin,O'Connor
100,Pete,Docter
101,Shimit,Amin
102,Paul,Thomas Anderson
103,Guillermo,del Toro
104,James,McTeigue
105,Sanjay,Leela Bhansali
106,Ashutosh,Gowariker
107,Oliver,Hirschbiegel
108,Ron,Howard
109,Priyadarshan,NULL
110,Curtis,Hanson
111,Yavuz,Turgul
