movie_id,director_id
1,1
2,2
3,3
4,2
5,4
6,5
7,6
8,7
9,3
10,8
11,5
12,9
13,10
14,5
15,11
16,12
17,13
18,14
19,15
20,16
21,17
22,3
23,18
24,19
25,7
26,1
27,20
28,8
29,21
30,22
31,23
32,24
33,25
34,26
35,27
36,28
37,3
38,12
39,29
40,30
41,31
42,32
43,33
44,34
45,35
46,36
47,37
48,9
49,10
50,38
51,39
52,40
53,40
54,41
55,42
56,43
57,44
58,45
59,46
60,47
61,47
62,48
63,6
64,3
65,49
66,50
67,51
68,52
69,53
70,3
71,19
72,10
73,7
74,54
75,2
76,30
77,55
78,24
79,54
80,56
81,54
82,38
83,56
84,40
85,57
86,58
87,59
88,60
89,61
90,62
91,63
92,64
93,65
94,6
95,66
96,67
97,68
98,69
99,57
100,70
101,71
102,72
103,73
104,6
105,54
106,74
107,35
108,14
109,75
110,76
111,77
112,12
113,78
114,54
115,54
116,10
117,79
118,56
119,38
120,38
121,80
122,24
123,81
124,56
125,82
126,83
127,83
128,40
129,45
130,84
131,85
132,86
133,87
134,88
135,89
136,90
88,91
137,92
138,93
139,94
140,95
141,96
142,97
143,98
144,99
145,12
146,100
147,12
148,101
149,102
150,103
151,48
152,104
153,94
154,105
155,3
156,106
157,107
158,19
159,108
160,109
161,68
162,110
163,111
164,112
165,12
166,113
167,114
168,7
169,115
170,19
171,116
172,24
173,12
174,117
175,118
176,119
177,120
178,121
179,122
180,123
181,24
182,124
183,56
184,118
185,118
186,125
187,38
188,126
189,24
190,127
191,128
192,129
193,40
194,130
195,131
196,132
197,133
198,134
199,53
200,135
201,136
202,137
203,138
204,139
205,100
206,140
207,49
208,141
209,142
210,8
211,143
212,73
213,100
214,144
215,145
216,108
217,137
218,146
219,147
220,148
221,149
222,63
223,150
224,151
225,114
226,152
227,153
228,154
229,155
230,156
231,157
232,158
233,49
234,114
235,159
236,160
237,161
238,49
239,16
240,162
241,6
242,51
243,7
244,163
245,100
246,164
247,106
248,165
249,36
250,166
251,115
252,167
253,168
254,169
255,167
256,115
257,170
258,171
259,161
260,172
261,168
262,7
263,173
264,174
265,175
266,166
267,176
268,177
269,178
270,19
271,179
272,180
273,181
274,118
275,30
276,182
277,183
278,184
279,185
280,4
281,54
282,117
283,29
284,186
285,118
286,117
287,187
288,188
289,118
290,117
291,189
292,190
293,191
294,24
295,192
296,117
297,118
298,124
299,193
300,194
301,24
302,195
303,24
304,79
305,196
306,197
307,56
308,198
309,199
310,200
311,129
312,38
313,25
314,201
315,202
316,25
317,203
318,40
319,204
320,205
321,206
322,207
323,208
324,209
325,210
326,151
327,27
328,211
329,30
330,212
331,89
332,37
333,213
334,149
335,151
336,214
337,215
338,216
339,217
340,63
341,218
342,32
343,163
344,213
345,219
346,220
347,221
348,222
349,62
350,95
351,223
352,224
353,225
354,169
355,69
356,219
357,226
358,227
359,228
360,229
361,230
362,231
363,232
364,233
365,234
366,235
367,236
368,237
369,6
370,238
371,232
372,239
373,108
374,240
375,241
376,242
377,243
378,236
379,244
380,245
381,246
382,247
383,102
384,245
385,182
386,248
387,61
388,249
389,236
390,250
391,251
392,252
393,121
394,253
395,254
396,255
397,256
398,257
399,258
400,177
401,259
402,260
403,261
404,262
405,263
406,176
407,178
408,264
409,19
410,35
411,265
412,24
413,266
414,267
415,7
416,4
417,268
418,269
419,270
420,127
421,186
422,271
423,272
424,78
425,29
426,269
427,273
428,273
429,274
430,79
431,10
432,195
433,275
434,276
435,195
436,277
437,278
438,82
439,279
440,280
441,54
442,281
443,195
444,197
445,56
446,194
447,196
448,282
449,283
450,38
451,284
452,79
453,278
454,194
455,25
456,128
457,192
458,201
459,202
460,285
461,286
462,287
463,288
464,289
465,290
466,291
467,292
468,293
469,142
470,294
471,295
472,296
473,294
474,297
475,294
476,63
477,298
478,161
479,32
480,140
481,299
482,300
483,301
484,12
485,302
486,303
487,304
488,305
489,69
490,306
491,161
492,307
493,298
494,87
495,308
496,114
497,309
498,310
499,142
500,228
501,311
502,312
503,313
504,314
505,114
506,315
507,175
508,316
509,317
510,318
511,300
512,319
513,315
514,320
515,182
516,72
517,102
518,321
519,322
520,323
521,172
522,324
523,75
524,243
525,173
526,267
527,75
528,267
529,121
530,176
531,325
532,326
533,267
534,327
535,328
536,329
537,330
538,195
539,190
540,181
541,266
542,269
543,331
544,328
545,332
546,271
547,80
548,333
549,54
550,334
551,335
552,336
553,192
554,196
555,337
556,38
557,338
558,339
559,38
560,277
561,56
562,340
563,277
