1,The Shawshank Redemption,1994,A,142,9.30,2343110,28341469
2,The Godfather,1972,A,175,9.20,1620367,134966411
3,The Dark Knight,2008,UA,152,9.00,2303232,534858444
4,The Godfather: Part II,1974,A,202,9.00,1129952,57300000
5,12 Angry Men,1957,U,96,9.00,689845,4360000
6,The Lord of the Rings: The Return of the King,2003,U,201,8.90,1642758,377845905
7,Pulp Fiction,1994,A,154,8.90,1826188,107928762
8,Schindler''s List,1993,A,195,8.90,1213505,96898818
9,Inception,2010,UA,148,8.80,2067042,292576195
10,Fight Club,1999,A,139,8.80,1854740,37030102
11,The Lord of the Rings: The Fellowship of the Ring,2001,U,178,8.80,1661481,315544750
12,Forrest Gump,1994,UA,142,8.80,1809221,330252182
13,"Il buono, il brutto, il cattivo",1966,A,161,8.80,688390,6100000
14,The Lord of the Rings: The Two Towers,2002,UA,179,8.70,1485555,342551365
15,The Matrix,1999,A,136,8.70,1676426,171479930
16,Goodfellas,1990,A,146,8.70,1020727,46836394
17,Star Wars: Episode V - The Empire Strikes Back,1980,UA,124,8.70,1159315,290475067
18,One Flew Over the Cuckoo''s Nest,1975,A,133,8.70,918088,112000000
19,Hamilton,2020,PG-13,160,8.60,55291,
20,Gisaengchung,2019,A,132,8.60,552778,53367844
21,Soorarai Pottru,2020,U,153,8.60,54995,
22,Interstellar,2014,UA,169,8.60,1512360,188020017
23,Cidade de Deus,2002,A,130,8.60,699256,7563397
24,Sen to Chihiro no kamikakushi,2001,U,125,8.60,651376,10055859
25,Saving Private Ryan,1998,R,169,8.60,1235804,216540909
26,The Green Mile,1999,A,189,8.60,1147794,136801374
27,La vita è bella,1997,U,116,8.60,623629,57598247
28,Se7en,1995,A,127,8.60,1445096,100125643
29,The Silence of the Lambs,1991,A,118,8.60,1270197,130742922
30,Star Wars,1977,UA,121,8.60,1231473,322740140
31,Seppuku,1962,,133,8.60,42004,
32,Shichinin no samurai,1954,U,207,8.60,315744,269061
33,It''s a Wonderful Life,1946,PG,130,8.60,405801,
34,Joker,2019,A,122,8.50,939252,335451311
35,Whiplash,2014,A,106,8.50,717585,13092000
36,The Intouchables,2011,UA,112,8.50,760360,13182281
37,The Prestige,2006,U,130,8.50,1190259,53089891
38,The Departed,2006,A,151,8.50,1189773,132384315
39,The Pianist,2002,R,150,8.50,729603,32572577
40,Gladiator,2000,UA,155,8.50,1341460,187705427
41,American History X,1998,R,119,8.50,1034705,6719864
42,The Usual Suspects,1995,A,106,8.50,991208,23341568
